objectid,filename,title,creator,date,location,subject,description,source,,,identifier,type,format,language,rights,rightsstatement,display_template
obj_001,adresar.jpg,"Naslovna stranica ""Splitskog adresara i almanaha za godinu 1925.""",Općinski statističko-anagrafski ured,1925,"Split, Hrvatska",almanah; adresar; splitska općina,"Riječ je o prvom formalnom pokušaju objedinjavanja svih značajnih događaja iz života gradske zajednice unutar jedne kalendarske godine. Donosi i popise gradskih ulica, obitelji koje su tada prebivale u Splitu te adrese relevantnih obrta i trgovina.",Gradska knjižnica Marka Marulića u Splitu; Arheološki muzej u Splitu,,,ISBN 978-953-7753-26-9 ,Image,image/jpg,hr,CC BY-NC 3.0,https://creativecommons.org/licenses/by-nc/3.0/deed.en,image
obj_002,adresar1925.jpg,"Izvadak iz ""Splitskog almanaha i adresara za godinu 1925.""",Općinski statističko-anagrafski ured,1925,"Split, Hrvatska",almanah; adresar; splitska općina,"Izdvojena je četvrta stranica ""Splitskog almanaha i adresara za 1925. godinu"" s prikazom najvažnijih događaja u gradu tijekom te godine.",Gradska knjižnica Marka Marulića u Splitu; Arheološki muzej u Splitu,,,ISBN 978-953-7753-26-9 ,Image,image/jpg,hr,CC BY-NC 3.0,https://creativecommons.org/licenses/by-nc/3.0/deed.en,image
obj_003,hiljadugodisnjica.jpg,"Naslovna stranica knjižice ""Hiljadugodišnjica hrvatskog kraljevstva (925.-1925.)""","Perojević, Marko",1925,"Split, Hrvatska",obljetnica hrvatskog kraljevstva,"Knjižica sadrži otisak prvotno objavljenog članka u ""Vjesniku za arheologiju i historiju dalmatinsku."" Autor u njoj navodi relevantne izvore i rasprave o kralju Tomislavu u dotadašnjoj historiografiji te kratak povijesni pregled onoga što je poznato o njegovoj vladavini.",Gradska knjižnica Marka Marulića u Splitu ,,,signatura S 94 (497.5) PER h,Image,image/jpg,hr,CC BY-NC 3.0,https://creativecommons.org/licenses/by-nc/3.0/deed.en,image
obj_004,basrelijef.jpg,"Naslovna stranica knjižice ""Basrelijef u splitskoj krstionici""","Karaman, Ljubo",1925,"Split, Hrvatska",obljetnica hrvatskog kraljevstva,"Knjižica je pretisak članka objavljenog u Vjesniku za arheologiju i historiju dalmatinsku."" Sadrži povijesnu i estetičku raspravu o likovima i uzorcima prikzanima na ranosrednjovjekovnoj Splitskoj krstionici.",Gradska knjižnica Marka Marulića u Splitu,,,signatura S 73 KAR b,Image,image/jpg,hr,CC BY-NC 3.0,https://creativecommons.org/licenses/by-nc/3.0/deed.en,image
obj_005,kraljtomislav.jpg,"Naslovna stranica izdanja ""Kralj Tomislav: pjesma""","Sulić, Martin",1925,"Split, Hrvatska",obljetnica hrvatskog kraljevstva; kralj Tomislav,Riječ je o poemi posvećenoj kralju Tomislavu.,Gradska knjižnica Marka Marulića u Splitu,,,signatura 821.163.42-1 SUL k,Image,image/jpg,hr,CC BY-NC 3.0,https://creativecommons.org/licenses/by-nc/3.0/deed.en,image
obj_006,kraljtomislavpocetak.jpg,"Prvi stihovi poeme ""Kralj Tomislav: pjesma""","Sulić, Martin",1925,"Split, Hrvatska",obljetnica hrvatskog kraljevstva; kralj Tomislav,"Izdvojeni su uvodni stihovi poeme, kako bi se ilustrirale njezine estetičke i tematske značajke.",Gradska knjižnica Marka Marulića u Splitu,,,signatura 821.163.42-1 SUL k,Image,image/jpg,hr,CC BY-NC 3.0,https://creativecommons.org/licenses/by-nc/3.0/deed.en,image
obj_007,makarskoprimorje.jpg,"Naslovna stranica knjižice ""Prilozi za povijest Makarskog primorja: mletačko-turska ratovanja u Dalmaciji s osobitim obzirom na Makarsko primorje""","Primorac, Ilija",1925,"Makarsko primorje, Hrvatska",povijest Dalmacije,"Knjižica je nastala na zahtjev ""dobrotvora Igrana"" Mate Dušana Paruna. Tematizira povijest tog prostora u vrijeme mletačko-osmanskih ratova, a autor navodi i povijesne izvore kojima se služio. ",Gradska knjižnica Marka Marulića u Splitu,,,signatura S 94(497.5) ANT p,Image,image/jpg,hr,CC BY-NC 3.0,https://creativecommons.org/licenses/by-nc/3.0/deed.en,image
obj_008,dvijeraspravice.jpg,"Naslovna stranica knjižice ""Prigodom otkrića Marulićeva spomenika dne 26. srpnja 1925.: dvije raspravice""","Bulić, Ivan; Lozovina, Vinko",1925,"Split, Hrvatska",Marko Marulić,"Knjižica sadrži dvije rasprave, od kojih se jedna odnosi na Marulićevu oporuku, a druga na njegovu ulogu u počecima umjetničke književnosti na hrvatskom jeziku. ",Gradska knjižnica Marka Marulića u Splitu,,,signatura 821.163.42 BUL p,Image,image/jpg,hr,CC BY-NC 3.0,https://creativecommons.org/licenses/by-nc/3.0/deed.en,image
obj_009,tuzenjegrada.jpg,"Naslovna stranica knjižice ""Marulićeva pjesma : Tužen'je grada Hjerozolima""","Marulić, Marko; Zaninović, Antonin",1925,"Split, Hrvatska",Marko Marulić,"Knjižica sadrži raspravu Antonina Zaninovića o značajkama Marulićeve pjesme ""Tužen'je grada Hjerozolima"", koju je Zaninović pronašao među rukopisima u knjižnici crkve sv. Ivana u Trogiru.",Gradska knjižnica Marka Marulića u Splitu,,,signatura 821.163.42.09 MAR,Image,image/jpg,hr,CC BY-NC 3.0,https://creativecommons.org/licenses/by-nc/3.0/deed.en,image
obj_010,marjanskisoneti.jpg,"Naslovna stranica zbirke pjesama ""Marjanski soneti""","Palavršić, Đuro",1925,"Split, Hrvatska",poezija; Split; Marjan,Riječ je o zbirci pjesama nadahnutima marjanskom prirodom i kulturnom baštinom.,Gradska knjižnica Marka Marulića u Splitu,,,signatura 821.163.42-1 PAL m,Image,image/jpg,hr,CC BY-NC 3.0,https://creativecommons.org/licenses/by-nc/3.0/deed.en,image
